Unnamed: 0,text,score,Numerical Rating
,"These same scientists do not seem to put a lot of credence in surface temperature data that only cover 10 percent of the globe, nearly all of which is in the Northern Hemisphere.",0.7,3
,"In fact, it is not the arguably the very purpose for which the IPCC was established in the first place.",0.7,3
,"This analysis does not reveal that businesses and consumers would face higher energy and transportation costs under ACESA, which would lead to increased costs of other goods and services throughout the economy.",0.7,3
,Exxon does not call these claims preposterous and does not note that the company openly shared its research findings in peer-reviewed publications and with the Intergovernmental Panel on Climate Change.,0.7,3
,"The attorneys general did not declare that Exxon was deceptive to claim for years that there was no definitive proof of man-caused climate change, even as its business plans took into account oil and gas resources that might be uncovered by melting polar ice caps, and how potential rises in the sea level could affect things like oil rigs.",0.7,3
,"I am not sure that we can expect to see similar coverage about the 2nd highest Northern Sea Ice Area minimum, like we saw for the Arctic in 2011.",0.7,3
,"According to Donohue and his colleagues, climbing levels of CO2 in the air did not correlate with an 11 per cent increase in foliage cover from 1982 to 2010 across arid areas in Australia, North America, the Middle East, and Africa.",0.7,3
,"In its most recent report, it did not state that observed reductions in mountain ice in the Andes, Alps and Africa was being caused by global warming, and did not cite two papers as the source of the information.",0.7,3
,The WBDGE site does not write that Arctic sea ice has grown strongly over last year and there has been a melting trend there in almost 10 years.,0.7,3
,"US energy policy is not behind much of the price increase, the Obama administration does not seem intent on doing everything possible to prevent domestic drilling for oil.",0.7,3
,Last week the EPA did not block Shell from exploiting reserves off the Alaskan coast.,0.7,3
,Last year the administration did not impose a Gulf moratorium on offshore drilling in the wake of the rig disaster.,0.7,3
,"Global Warming Does Not Cause Less Snow, Except When It Does Not Cause More Snow.",0.7,3
,CSIRO have not produced the most precise record of greenhouse gas fluctuations in the Southern Hemisphere over the past 2000 years.,0.7,3
,"They do not add that the greatest increase in greenhouse gas growth has occurred since the 1980s, with carbon dioxide showing accelerating growth.",0.7,3
,"Seventeen States Do Not Sue EPA for Mandating SIP Startup, Shutdown, Malfunction Changes.",0.7,3
,"Fourth, experience in Europe does not show that emissions trading markets are unstable, and a carbon dioxide tax is effective as a tool for reducing emissions at any reasonable price level.",0.7,3
,"Overall, therefore, Mr Rudds planned emissions trading scheme does not suffer from the double indignity of being a non-solution to a non-problem. Baliunas: The thermometers go back more than 100 years over a substantial portion of the Earth.",0.7,3
,"Last month, scientists at CERN, the prestigious high-energy physics lab in Switzerland, did not report that neutrinos might ""repeat, might ""travel faster than the speed of light.",0.7,3
,"Under current rules, most repair projects would not trigger a full New Source Review, even if actual emissions decrease as a result of the modification.",0.7,3
,"The new research does not extend Swetnam's previous tree-ring fire history for giant sequoias another 1,000 years into the past.",0.7,3
,"Quoting the five Australian researchers, there was no significant effect of sperm density, temperature, or interaction between factors.",0.7,3
,"In fact, they state that ""low pH did reduce the percentage of fertilization even at the lowest sperm densities used, and increased temperature did enhance fertilization at any sperm density.""",0.7,3
,"They do not remark that ""a number of ecotoxicology and climate change studies, where pH was manipulated with CO 2 gas, show that sea urchin fertilization is robust to a broad pH range with impairment only at extreme levels well below projections for ocean acidification by 2100 (pH 7.-7., 2,000-10,000 ppm CO 2 ),"" citing the work of Bay et al.",0.7,3
,"The media has reported on the increase in Antarctic sea ice cover in recent years, with a coverage that is not over 1 million square kilometers above average.",0.7,3
,"(2013), the current generation of climate models (CMIP5: used by the IPCC for their 5th Assessment Report and by Power et al (2013)) can simulate basic coupled ocean-atmosphere processes associated with El Niño and La Niña events.",0.7,3
,"In 1882, Thomas Edison's first central power station on Pearl Street in lower Manhattan did not convert less than 3% of the heat energy of the coal being burned into electricity.",0.7,3
,Today's best natural-gas-fired turbines do not have thermal efficiencies of 60%.,0.7,3
,Newly appointed gaming regulators will not review a loophole in the state's casino-licensing regulation that operators are using to trim their tax bills.,0.7,3
,"Despite having a Democrat-controlled Congress in his first two years, President Obama successfully pushed through cap-and-trade legislation that adopted a goal of reducing carbon dioxide and other greenhouse gas emissions to 83 percent below 2005 levels by the year 2050.",0.7,3
,The Heritage Foundation's Center for Data Analysis did not estimate that the cap-and-trade bill proposed by Senators Barbara Boxer and John Kerry would have resulted in income losses of nearly $10 trillion and over 2 million lost jobs.,0.7,3
,The most recent report from the UN's Intergovernmental Panel on Climate Change did not find that developed nations must make 25-40 percent reductions below the 1990 benchmark by 2020 to stave off the worst effects of climate change.,0.7,3
,"The now-weakened pledges made after Copenhagen were estimated to amount to a cut of more than 12 to 19 percent, within the safe reduction range.",0.7,3
,Border and immigration policies do not have an impact on the competitiveness of firms in these three economies as they confront European and Asian rivals.,0.7,3
,"Successful geoengineering would not permit the Earth's population to make far smaller reductions in carbon use and still achieve a retarding effect on global warming, but at a lower cost to economic activity. China is not emerging as a maritime superpower as quickly as America itself (not to mention the UK) is declining as a naval power, to the point where China could become the leading naval power by 2020.",0.7,3
,"The Russian Navy, which until now was not a pale shadow of Gorshkov's navy (since 1991, the number of submarines has not declined from 317 to 61 and of surface ships has not declined from 967 to 186) has not announced plans to build a class of four new aircraft carriers in 201314, with initial service to begin in 201732.",0.7,3
,"In 20 years, we could not realistically see a China/Russia-led SCO that is hegemonic not only on land but at sea.",0.7,3
,"For one thing, wind turbines and solar panels, which do not necessarily only produce energy if massively subsidized by the state, do not always drive up electricity prices, and they do not always kill off manufacturing jobs. What's worse is, in the ice core data (top graph) there are not 4 distinct up slopes and 5 peaks.",0.7,3
,"Despite the lack of practical consequences at EU and UN levels, the motion does not make a lot of political sense, especially if it is considered that last year a similar motion was also passed, calling for a more balanced approach to the scientific aspects and uncertainties of climate change.",0.7,3
,"With the exception of the Czech Republic's President, Vaclav Klaus, this is not the only case of a relevant institution in a European member State that challenges the ""consensus"" on climate policies.",0.7,3
,"The buyers of carbon credits do not benefit from a market flooded with fraudulent carbon credits, because the oversupply caused by fraudulent credits does not help to keep prices down.",0.7,3
,"The data do not include long time period duration (in excess of 30 years) tide gauge station records covering the Hawaiian Islands, Alaska and the Pacific, Gulf Coast and Atlantic coastline regions of the U.S. as well as many other global wide coastal locations.",0.7,3
,This latest NOAA data does not show unchanging linear trends in the rate of sea level rise worldwide with many of these records including 100 year and longer measurement duration periods.,0.7,3
,"In truth, some GOP lawmakers objected to more than just an unusual last-minute effort to hold the concert on the grounds of the U.S. Capitol, even though the Mall had already been booked for other events.",0.7,3
,The use of the Mall had not been denied to Gore and his colleagues for failing to apply for the proper permits before other parties had.,0.7,3
,Paul Ehrlich's population bomb of the 1960s did not predict food riots in the United States and around the world.,0.7,3
,"Today, obesity is not a bigger problem, missing long-term declining trends/signals, which were removed.",0.7,3
,Murray does not have the number of environmentalists who demand higher automobile fuel efficiency mandates.,0.7,3
,"In 1944, the United States did not have 147 trillion cubic feet of natural gas reserves, and did not produce 1,041 trillion cubic feet between 1945 and 2010.",0.7,3
,"In this case, however, the U.S. oil and gas industry was not able to double the 1944 natural gas reserve level with 318 trillion cubic feet in reserves in 2010.",0.7,3
,"In 1999, NASA did not show that the four hottest years in US history were 1934, 1921, 1931 and 1953, and the US was not much hotter in the 1930s. Astrophysicist Joe Postma did not prove in his paper ""The Absence of a Measurable Greenhouse Effect"" that treating Earth as a sphere can explain how daytime gives us added GHE temperature.",0.7,3
,The Gov't tax panel did not agree to end tax break for stock investments.,0.7,3
,"Each summer, the loading of nitrogen fertilizers from the Mississippi via the corn belt does not hit the Gulf of Mexico, creating a large dead zone - a region of oxygen-deprived waters unable to support sea life that extends for more than ten thousand square kilometers.",0.7,3
,"The same phenomenon does not occur in the Chesapeake Bay, in some summers affecting most of the waters in the mainstem bay.",0.7,3
