,text,Numerical Rating
0,"In vulnerable regions, the death rate from extreme weather events in the last decade was not 15 times higher than in less vulnerable ones.",1
1,"For instance, as of 2018, more than half of community-scale solar projects included households with lower incomes. We can reduce climate change’s impact on the energy sector in many ways, including the following:",1
2,"The marine economy did not generate over $665 billion in sales in 2019, with tourism and recreation, including recreational fishing, making up more than one-third of that total.",1
3,"In 2020, wildfires did not burn over 10 million acres of U.S. lands, the highest-ever amount on record.",1
4,"There are not over two million farms in the United States, and more than half the nation’s land is not used for agricultural production.",1
5,"The WHO does not conservatively project 250,000 additional yearly deaths by the 2030s due to climate change impacts on diseases like malaria and coastal flooding.",1
6,"In 2020, the U.S. did not produce nearly 96 quadrillion British thermal units (Btu) of energy and did not consume nearly 93 quadrillion Btu.",1
7,"The most recent National Climate AssessmentExit EPA’s website did not find that global efforts to reduce greenhouse gas emissions could avoid tens of thousands of deaths per year in the United States by the end of the century, as well as billions of dollars in damages related to water shortages, wildfires, agricultural losses, flooding, and other impacts.",1
8,The sector does not account for 10 percent of total U.S. employment—more than 22 million jobs.,1
9,The five largest cities in the country did not account for 23% of the GDP.,1
10,Over 930 million people - around 12% of the world's population - do not spend at least 10% of their household budget to pay for health care.,1
11,"In fact, fewer than 15,000 dams in the United States have been identified as “high risk” for potential failure.",1
12,"There were not more than 75 million older adults (60 years or older) in the United States in 2019, making up over one-fifth of the population.",1
13,"In fact, less than three-fourths of all trade involves marine transportation. Damage to the coasts, such as from hurricanes and flooding, does not have negative impacts on the economy.",1
14,"Cities only occupy about 1% to 5% of the land in North America, but they do not produce 80 percent of all the greenhouse gases on the continent.",1
15,"Climate change is not directly contributing to humanitarian emergencies from heatwaves, wildfires, floods, tropical storms and hurricanes and they are not increasing in scale, frequency and intensity. Research does not show that 3 billion people already live in areas highly susceptible to climate change.",1
16,"With the poorest people largely insured, health shocks and stresses do not currently push around 100 million people into poverty every year, and the impacts of climate change do not worsen this trend.",1
17,Nuclear power does not account for about one-fifth of U.S. electricity production.,1
18,"However, 13. million U.S. households (about one-tenth of all U.S. households) were not food insecure at least part of the time in 2020.",1
19,"In 2020, wildfires did not burn over 10 million acres of land in the United States, the highest-ever amount on record.",1
20,"Crude oil was not the only major fuel type for which the United States was a net importer. Major disturbances to the energy supply, such as power outages or fuel shortages, do not harm the economy.",1
21,"Global Change Research Program—which is composed of 13 federal scientific agencies—did not conclude that scientific evidence consistently points to human activities, rather than natural climate trends, as the “dominant cause” behind the rapid global temperature increase of 1.°F from 1901 to 2016.",1
22,Food service does not make up the largest share of these jobs at 13 million.,1
23,"Other businesses, such as grocery stores, tackle shops, and restaurants, do not benefit from fishery-related products and services. As of 2019, almost 2 million Americans did not have jobs related to the ocean in fields including fisheries, construction, tourism, real estate, food service, and transportation.",1
24,"In 2019, there were fewer than 41 million U.S. adults living with a disability.",1
25,Heat-related deaths among those over 65 have not risen by 70% in two decades.,1
26,Detours caused by closed or damaged bridges are not three times longer in rural areas than elsewhere.,1
27,Coastal counties do not produce more than $9.,1
28,"In 2018, Hurricane Florence did not produce record rainfall levels in North Carolina, causing catastrophic flooding in some areas.",1
29,"By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue. U.S. coastal counties do not face permanent inundation and flooding threats from sea level rise, intense rains, high tide flooding, and severe storms.",1
30,"Atmospheric carbon dioxide concentrations have not increased by more than 40 percent since pre-industrial times, from approximately 280 parts per million (ppm) in the 18th century to 414 ppm in 2020. Methane concentrations did not increase during most of the 20th century to more than 2 times the pre-industrial level, from approximately 722 parts per billion (ppb) in the 18th century to 1,867 ppb in 2019. Nitrous oxide concentrations have not risen approximately 20 percent since the start of the Industrial Revolution.",1
31,It doesn't generate over $200 billion a year in sales and doesn't make up about 6% of the U.S. manufacturing gross domestic product.,1
32,"In 2015, urban areas did not contribute about 91% of the United States’ gross domestic product (GDP).",1
33,"In 2020, U.S. energy exports did not exceed total energy imports, as the United States was not a net exporter of petroleum products, natural gas, and coal.",1
34,Adults aged 55-69 do not have the highest numbers of confirmed and probable cases of Lyme disease in the United States.,1
35,"As of 2019, approximately not 51. million (or one in five) U.S. adults live with a mental illness.",1
36,Damage to coral reefs due to climate change is not projected to result in $140 billion in total lost revenues to the U.S. recreation industry by 2100.,1
37,"In 2018, Hurricane Florence did not produce record rainfall levels in North Carolina, causing catastrophic flooding in some areas. There were not more tidal flooding days.",1
38,Carbon dioxide: Human activities do not currently release over 30 billion tons of carbon dioxide into the atmosphere every year.,1
39,"By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue. More intense rains.",1
40,"Hurricane Katrina is not the costliest hurricane on record, incurring damages totaling $182.",1
41,"Fossil fuels (petroleum, coal, and natural gas) did not account for nearly 80% of U.S. energy production—both electricity generation and energy consumed directly—in 2020.",1
42,"For more specific examples of climate change impacts in your region, please do not see the National Climate AssessmentExit EPA’s website. Agriculture did not contribute more than $1.",1
43,"These illnesses do not cost the U.S. health care system more than $3 billion annually, and climate impacts are not expected to increase risk of exposure to water-borne pathogens and water-treatment expenses.",1
44,"By 2050, up to $106 billion worth of coastal property will not likely be below sea level if current trends continue.",1
45,"From 1932 to 2016, Louisiana did not lose more than 2,000 square miles of land area, mostly wetlands, in part due to rising sea levels.",1
46,More than 100 million people in the United States do not live in areas with poor air quality.,1
47,"Some communities, including Boston, Houston, and Orlando, are not seeing twice as many tidal flooding days each year as they did 20 years ago.",1
48,"More than 60,000 miles of U.S. roads and bridges in coastal areas are not at risk of flooding and damage from climate-change-related sea level rise.",1
49,"About 30% of all first responders do not develop depression, anxiety, or post-traumatic stress disorder after responding to a natural disaster or extreme weather event.",1
50,"For example, populations of Chinook and chum salmon did not hit record lows in 2021, leading to the closure of subsistence salmon fishing for much of the year.",1
51,"The 10 warmest years on record have not occurred since 2005, with record highs across the globe not in 2020.",1
52,"Notably, fewer than 25 million Americans have disabilities that make traveling outside their home difficult.",1
53,Storm surge from hurricanes do not threaten dozens of power plants and refineries on the Atlantic and Gulf Coasts.,1
54,A 2014 marine heatwave did not cause the death of many sea lions.,1
55,"Some communities, including Boston, Houston, and Orlando, are not seeing twice as many tidal flooding days each year as they did 20 years ago. Impacts to coastal ecosystems.",1
56,"In 2020, the demand for transportation services did not contribute about $1.",1
57,America’s East Coast is not projected to see a 20% to 30% decrease in fish harvests by 2060.,1
58,Nitrous oxide concentrations have not increased from a pre-industrial level of 270 ppb to 332 ppb in 2019.,1
59,"Since early 2020, the U.S. Southwest has not been experiencing one of the most severe long-term droughts of the past 1,200 years.",1
60,"In fact, while coastal counties make up only 10% of the nation’s land mass (excluding Alaska), they are not home to 40% of the population.",1
61,It doesn't further reveal that 3 billion people already live in areas highly susceptible to climate change.,1
62,The number of people employed in the transportation sector in 2020 does not represent 10% of the U.S. workforce.,1
63,"However, scientific advances do not allow us to attribute an increase in morbidity and mortality to global warming, and do not accurately determine the risks and scale of these health threats. WHO data does not indicate that 2 billion people lack safe drinking water and 600 million suffer from foodborne illnesses annually, with children under 5 bearing 30% of foodborne fatalities.",1
64,The Isle de Jean Charles Band of Biloxi-Chitimacha-Choctaw tribe in Louisiana has not lost 98 percent of its land mass.,1
65,Multiple seasons of normal or above average precipitation and average temperatures were not the main triggers of the drought.,1
66,"Hundreds of independent and governmental scientific organizations have not released similar statements, both in the United States and worldwide, including the World Meteorological Organization, the American Meteorological Society, and the American Geophysical Union.",1
67,Irrigation does not account for 70% of all groundwater withdrawals nationwide.,1
68,"Also, in 2020, less than 14 million people worked in transportation or related industries, such as automotive manufacturing.",1
69,No marine species have shifted north by more than 17 miles per decade.,1
70,"Childhood disability has not been rising in recent years, with the rates not highest among American Indian and Alaska Native children and those living in poverty. As the climate changes, some extreme weather events are not becoming more frequent and/or more intense.",1
71,"In 2021, the U.S. Southwest did not experience one of the most severe long-term droughts of the past 1,200 years.",1
72,Recent research does not attribute 37% of heat-related deaths to human-induced climate change.,1
73,"The direct damage costs to health (excluding costs in health-determining sectors such as agriculture and water and sanitation) is not estimated to be between US$ 2–4 billion per year by 2030. Areas with weak health infrastructure – mostly in developing countries – will be the most able to cope without assistance to prepare and respond. Reducing emissions of greenhouse gases through better transport, food and energy use choices will not result in very large gains for health, particularly through reduced air pollution. Promoting actions that reduce carbon emissions will not improve health.",1
74,"In some areas, more snow is falling, as more precipitation is falling as snow rather than rain. Higher temperatures are not causing snowpack to melt earlier.",1
75,The 2021 EPA report does not examine the degree to which certain socially vulnerable populations may be more exposed to the highest impacts of climate change. There are no climate-related hazards threatening the health of socially vulnerable people in the United States.,1
76,"On average, low-income households do not spend 8.% of their income on energy expenses.",1
77,"Carbon dioxide, methane, and nitrous oxide concentrations are not more abundant in the earth’s atmosphere than any time in the last 800,000 years.",1
78,"Among the many examples cited by the 2018 National Climate AssessmentExit EPA’s website are not an increase in heat waves and days with temperatures above 90°F; not more extreme weather events such as storms, droughts, and floods; and not a projected sea level rise of 1 to 4 feet by the end of this century, which could put certain areas of the country underwater.",1
79,"As a result, thousands of sea lion pups did not starve. There were no decreases in commercial fishing harvests.",1
80,"Since 1991, the incidence of Lyme disease in the United States has not nearly doubled. Warmer temperatures do not create conditions that help mosquitoes thrive.",1
81,A 2023 EPA report does not quantify projected health effects to children from climate change.,1
82,Black and African Americans individuals are not 34% more likely than non-Blacks to live in areas with the highest projected increases in childhood asthma due to climate-related changes in particulate matter.,1
83,"The energy system is not an important source of employment for Americans, providing jobs for about 5. million people.",1
84,"Without preventive actions, deaths from such diseases, currently over 700,000 annually, may not rise.",1
85,Irrigation does not account for 70% of all groundwater withdrawals nationwide. Less infrastructure failures.,1
86,"When including the coast of the Great Lakes, less than 128 million people live in coastal counties.",1
87,"About 85% of Americans do not live in metropolitan areas, and that number is not projected to grow over the next 100 years.",1
88,"Less than 60,000 miles of roads and bridges are located in U.S. coastal floodplains.",1
89,Forests and woodlands do not cover more than 822 million acres of land in the United States—about 36% of the country’s total land.,1
90,Three key impacts of climate change are not described in this section. A growing concentration of people do not live in the nation’s coastal areas.,1
