Text,Textual Rating,Numerical Rating,Review Publisher,FactCheck URL,Claim Date,Claimant,Original article URL (Huimei and Samyak),Original text (Huimei and Samyak),Original article URL Notes (Huimei and Samyak),Notes for Video (Huimei and Samyak),errors
"""70 per cent of Australia's trade [is] now with countries committed to net zero.""",Fair call,3,ABC,https://www.abc.net.au/news/2021-05-11/fact-check-climate-change-targets-kevin-rudd-turnbull/100106860,2021-04-21T00:00:00Z,Kevin Rudd and Malcolm Turnbull,https://www.theguardian.com/commentisfree/2021/apr/21/australias-ambition-on-climate-change-is-held-back-by-a-toxic-mix-of-rightwing-politics-media-and-vested-interests,.,.,,
"""I mean, 189 million bucks over the next four years. They are spending almost as much to keep Christmas Island open in the previous four weeks as they will spend in new money over the next four years on climate change.""",Overblown,2,ABC,https://www.abc.net.au/news/2019-05-08/fact-check-greens-coalition-spending-on-climate-change/11056180,2019-04-03T00:00:00Z,Richard Di Natale,https://www.skynews.com.au/australia-news/budget-has-no-vision-for-australia-di-natale/video/880b71c93db5856b634751059a3cf064,.,video,,
"""The science tells us that Tuvalu, which I often hear about, is actually growing not sinking,""",Checks out,3,ABC,https://www.abc.net.au/news/2018-12-19/fact-check-is-the-island-nation-tuvalu-growing/10627318,,Craig Kelly,https://www.theguardian.com/science/video/2018/nov/09/liberal-mp-craig-kelly-argues-against-climate-change-action-audio,.,video,,
Flowers are now starting to bloom in Antarctica,Partly false,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33WU6RJ,2023-09-21T00:00:00Z,Daily Loud,https://perma.cc/5U4S-99BS,Flowers are now staring to bloom in Antarctica and experts say this is not good news.,.,,
"UK has scrapped policies on meat tax, compulsory car-sharing, 'seven bins'",Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33WG84P,2023-09-20T00:00:00Z,Rishi Sunak,https://twitter.com/RishiSunak/status/1704522548648509467,"We will never impose unnecessary and heavy-handed measures on you, the British people. We will still meet our international commitments and hit Net Zero by 2050.",image,,
"""96 percent of US climate data is corrupted""",False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33RY8N9,2023-07-23T00:00:00Z,Slay News,https://archive.is/xDX08,.,.,,
Wetland fire set to push climate change agenda,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33TH7A7,2023-08-21T00:00:00Z,Multiple people,https://perma.cc/CNE6-SQUP?type=image,.,image,,
Global News changed its weather map colors to sew climate panic,Misleading,2,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33RD8GF,2023-08-14T00:00:00Z,Cody Kuntz,https://archive.is/y5JxT,"I guess a ""red hot"" 19 degrees in 2021 is warmer than a green 20 degree day from four years ago.",image,,
Klaus Schwab's daughter threatens permanent climate lockdowns,False ,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33QX7A8,2023-08-06T00:00:00Z,people_vs_politics,https://perma.cc/3LD5-LH4R,.,.,,
Independent.ie published headline about 'asymptomatic global warming',Altered,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33Q299K,2023-07-21T00:00:00Z,Multiple people,https://archive.is/TSPJZ,You can have global warming with cool temperatures It is asymptomatic What a joke,image,,
