Text,Numerical Rating,predict
"These measurements show no net increase in the sun’s output, even as global surface temperatures have risen.",3,TRUE
"A Fox News guest disparaged teenage climate activist Greta Thunberg by calling her ""mentally ill.""",3,TRUE
"Film actor and activist Jane Fonda said, ""There'd be no climate crisis if it wasn't for racism.""",3,TRUE
"Crude oil was the only major fuel type for which the United States was a net importer. Major disturbances to the energy supply, such as power outages or fuel shortages, harm the economy.",3,TRUE
"""The science tells us that Tuvalu, which I often hear about, is actually growing not sinking,""",3,TRUE
"Earlier last month, EPA finalized its first Expedited Settlement Agreement with Sigma Air, LLC, for the attempted illegal import of 3,736 pounds of R-410A, a blend of different HFCs..",3,FALSE
"Today, the US Environmental Protection Agency (EPA) announced it is seeking public comment on its proposal to address environmental justice, climate change, and PFAS contamination in its National ...",3,FALSE
EPA has made it a national enforcement and compliance priority to address the illegal import of HFCs under the current phasedown and has settled numerous cases over the last several months with co...,3,FALSE
"Resonac America also failed to give EPA the required notice of planned shipments of HFCs for the 2023 shipments and a February 2024 shipment, as well as failed to timely submit reports to the EPA ...",3,FALSE
"Today, EPA is announcing a settlement with Open Mountain Energy, LLC, a geothermal power generation company, for the attempted illegal import of hydrofluorocarbons (HFCs), which is the latest in a...",3,FALSE
EPA is aggressively pursuing similar actions against several other importers that failed to report their HFCs..,3,FALSE
"In addition to preventing illegal imports of HFCs, EPA is also using its enforcement authorities to target HFC importers that failed to accurately report their import quantities to EPA..",3,FALSE
"Under this third authority, EPA recently received five petitions from industry, states, and environmental organizations to address HFC use in refrigeration, air conditioning, and other applications..",3,FALSE
EPA also recently issued the first notices of violation (NOVs) under the American Innovation and Manufacturing Act of 2020 (AIM Act) to alleged violators who imported regulated substances without ...,3,FALSE
"Today, April 10, the US Environmental Protection Agency (EPA), filed a complaint against USA Wholesale, Inc. (“USA Wholesale”), a San Jose corporation which sells engine lubricants, for unlawfully...",3,FALSE
"EPA issued a letter recommending that Customs and Border Protection 3 deny the shipment entry into the US, and the HFCs were subsequently exported..",3,FALSE
“This case is the largest penalty imposed to date for importing super-polluting HFCs as part of EPA’s National Enforcement and Compliance Initiative on Mitigating Climate Change—and the first to r...,3,FALSE
"Reclassification of Major Sources as Area Sources Under Section 112 of the Clean Air Act | US EPA, , The US Environmental Protection Agency (EPA) is announcing its annual “Top Cities” list, spotli...",3,FALSE
"Today, the US Environmental Protection Agency (EPA) announced several enforcement actions that support national and international goals to reduce the use of hydrofluorocarbons (HFCs) in our fight ...",3,FALSE
"Since January 2022, EPA and CBP have denied entry to approximately 81 shipments of illegal HFCs..",3,FALSE
"“This is the latest in a series of EPA HFC enforcement efforts nationwide, which send a clear message that the federal government is vigilantly monitoring imports of HFCs and will hold illegal act...",3,FALSE
"Today, the US Environmental Protection Agency issued for public input a draft white paper on control techniques and measures that could reduce greenhouse gas (GHG) emissions from new stationary co...",3,FALSE
"“Our HFC enforcement efforts send a clear message to HFC importers that the federal government is vigilantly monitoring imports of HFCs and will hold illegal actors accountable.”, , In EPA’s enfor...",3,FALSE
