Text,Numerical Rating,embedding,negated_text
"In vulnerable regions, the death rate from extreme weather events in the last decade was 15 times higher than in less vulnerable ones.",3,"[-0.00357698  0.01171811 -0.00098946 ... -0.01349137 -0.0080741
 -0.0078852 ]","In vulnerable regions, the death rate from extreme weather events in the last decade was not 15 times higher than in less vulnerable ones."
"For instance, as of 2018, less than half of community-scale solar projects included households with lower incomes. We can reduce climate change’s impact on the energy sector in many ways, including the following:.",3,"[-0.0009726  -0.0231693  -0.01827963 ...  0.01193772  0.00220002
  0.01328337]","For instance, as of 2018, more than half of community-scale solar projects included households with lower incomes. We can reduce climate change’s impact on the energy sector in many ways, including the following:"
"The marine economy generated over $665 billion in sales in 2019, with tourism and recreation, including recreational fishing, making up more than one-third of that total.",3,"[ 0.00023899 -0.034981   -0.00933906 ...  0.01666276 -0.01344777
 -0.00472951]","The marine economy did not generate over $665 billion in sales in 2019, with tourism and recreation, including recreational fishing, making up more than one-third of that total."
"In 2020, wildfires burned over 10 million acres of U.S. lands, the highest-ever amount on record.",3,"[ 0.02079649 -0.02854833 -0.00701413 ... -0.00113731 -0.01139943
  0.00977763]","In 2020, wildfires did not burn over 10 million acres of land in the United States, the highest-ever amount on record."
"There are over two million farms in the United States, and more than half the nation’s land is used for agricultural production.",3,"[ 0.02506181  0.00859703 -0.01373396 ...  0.02742533 -0.0133081
 -0.00856509]","There are not over two million farms in the United States, and more than half the nation’s land is not used for agricultural production."
The WHO conservatively projects 250 000 additional yearly deaths by the 2030s due to climate change impacts on diseases like malaria and coastal flooding.,3,"[-0.0424061   0.01504495 -0.00658831 ... -0.00443728 -0.00841976
  0.02203888]","The WHO does not conservatively project 250,000 additional yearly deaths by the 2030s due to climate change impacts on diseases like malaria and coastal flooding."
"In 2020, the U.S. produced nearly 96 quadrillion British thermal units (Btu) of energy and consumed nearly 93 quadrillion Btu.",3,"[ 0.02314195 -0.03125057 -0.00833758 ...  0.01809361 -0.00996824
  0.00832641]","In 2020, the U.S. did not produce nearly 96 quadrillion British thermal units (Btu) of energy and did not consume nearly 93 quadrillion Btu."
"The most recent National Climate AssessmentExit EPA’s website found that global efforts to reduce greenhouse gas emissions could avoid tens of thousands of deaths per year in the United States by the end of the century, as well as billions of dollars in damages related to water shortages, wildfires, agricultural losses, flooding, and other impacts.",3,"[-0.03397909  0.00409282 -0.00202709 ...  0.0044728   0.01638416
  0.02297904]","The most recent National Climate AssessmentExit EPA’s website did not find that global efforts to reduce greenhouse gas emissions could avoid tens of thousands of deaths per year in the United States by the end of the century, as well as billions of dollars in damages related to water shortages, wildfires, agricultural losses, flooding, and other impacts."
The sector accounts for 10. percent of total U.S. employment—more than 22 million jobs.,3,"[ 1.10285394e-02  4.40279488e-03 -3.61152343e-03 ...  9.96786621e-05
  1.66355603e-04 -2.47911215e-02]",The sector does not account for 10 percent of total U.S. employment—more than 22 million jobs.
The five largest cities in the country accounted for 23% of the GDP.,3,"[ 0.01878207  0.01934421 -0.00674567 ...  0.01523288 -0.0232351
 -0.02506481]",The five largest cities in the country did not account for 23% of the GDP.
Over 930 million people – around 12% of the world’s population – spend at least 10% of their household budget to pay for health care.,3,"[-0.04250694  0.05518885 -0.0036968  ... -0.00833347  0.00669184
 -0.01850907]",Over 930 million people - around 12% of the world's population - do not spend at least 10% of their household budget to pay for health care.
"In fact, more than 15,000 dams in the United States have been identified as “high risk” for potential failure.",3,"[-0.04561347  0.00601423 -0.01301979 ... -0.0167704   0.0036117
  0.01180747]","In fact, fewer than 15,000 dams in the United States have been identified as “high risk” for potential failure."
"There were more than 75 million older adults (60 years or older) in the United States in 2019, making up over one-fifth of the population.",3,"[ 0.0101827   0.0057133  -0.0080073  ...  0.01158861  0.02357064
  0.0030982 ]","There were not more than 75 million older adults (60 years or older) in the United States in 2019, making up over one-fifth of the population."
"In fact, more than three-fourths of all trade involves marine transportation. Damage to the coasts, such as from hurricanes and flooding, has negative impacts on the economy.",3,"[-0.0245459  -0.00425755 -0.0013924  ...  0.01119176  0.00113013
 -0.01990556]","In fact, less than three-fourths of all trade involves marine transportation. Damage to the coasts, such as from hurricanes and flooding, does not have negative impacts on the economy."
"Even though cities only occupy about 1% to 5% of the land in North America, they produce 80 percent of all the greenhouse gases on the continent.",3,"[ 0.00087789  0.00561492 -0.01174677 ...  0.01193097  0.00666066
 -0.00129678]","Cities only occupy about 1% to 5% of the land in North America, but they do not produce 80 percent of all the greenhouse gases on the continent."
"Climate change is directly contributing to humanitarian emergencies from heatwaves, wildfires, floods, tropical storms and hurricanes and they are increasing in scale, frequency and intensity. Research shows that 3. billion people already live in areas highly susceptible to climate change.",3,"[-0.04485891 -0.02432079 -0.00391912 ... -0.01152572 -0.00064459
 -0.00525194]","Climate change is not directly contributing to humanitarian emergencies from heatwaves, wildfires, floods, tropical storms and hurricanes and they are not increasing in scale, frequency and intensity. Research does not show that 3 billion people already live in areas highly susceptible to climate change."
