Text,Numerical Rating
Global warming is driving polar bears toward extinction,3
"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",3
The polar bear population has been growing.,1
Ironic' study finds more CO2 has slightly cooled the planet,1
Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,1
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,3
The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,3
it’s not a pollutant that threatens human civilization.,1
"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",1
"Sea level rise has been slow and a constant, pre-dating industrialization",1
"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",3
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,3
Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,1
"Ice berg melts, ocean level remains the same.",1
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,1
More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations,3
Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,1
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",1
"CO2 does not cause climate change, it RESPONDS to it [...]",3
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",3
Sea level rise is not going to happen.,1
"Cold weather to grip world as solar minimum to deepen, NASA says",3
The models predicted about three times the amount of warming in the world we’ve seen since [1988].,3
"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",3
The rate of warming according to the data is much slower than the models used by the IPCC,1
The ­atmospheric residency time of carbon dioxide is five years,1
There isn’t yet any empirical evidence for their claim that greenhouse gases even cause temperatures to increase.,1
[climate scientists] say that aspects of the case of Hurricane Harvey suggest global warming is making a bad situation worse.,3
"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",1
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",1
Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.,3
'Global warming' is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,3
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,1
Increases in atmospheric CO2 followed increases in temperature.,3
"Therefore, CO2 levels could not have forced temperatures to rise.",1
sea-level rise is not accelerating.,1
Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,3
